"id","price"
"1103147381726050","R$ 119.99"
"5560507875758739","R$ 129.99"
"6610866050230507","R$ 149.99"
"4749821270410249","R$ 59.99"
"6117853093426272","R$ 719.99"
"0836655137170512","R$ 79.99"
"5724278802917541","R$ 269.99"
"8603527149461191","R$ 99.99"
"3743059756966471","R$ 69.99"
"0965081033587534","R$ 239.99"
"3435391228983718","R$ 129.99"
"6521439928902161","R$ 229.99"
"8995663652472306","R$ 159.99"
"3162367364026116","R$ 89.99"
"4906529067506826","R$ 99.99"
"9384763159668814","R$ 279.99"
"1585739672674906","R$ 369.99"
"0869831287432029","R$ 109.99"
"5082268821921541","R$ 59.99"
"5046226210775335","R$ 859.99"
"3401577985304310","R$ 449.99"
"7169742844647237","R$ 99.99"
"1753161858500730","R$ 129.99"
"4320210718363415","R$ 89.99"
"3227042978005683","R$ 69.99"
"5963234585876464","R$ 179.99"
"4192272235319868","R$ 209.99"
"9547862851206271","R$ 179.99"
"8608678709095371","R$ 119.99"
"2797403207528844","R$ 139.99"
"6647575512391531","R$ 79.99"
"3718505467025375","R$ 59.99"
"5355537310142946","R$ 69.99"
"9019602169520580","R$ 59.99"
"2084252061976543","R$ 209.99"
"1578363853236362","R$ 79.99"
"1680082050273808","R$ 179.99"
"7524753926249491","R$ 219.99"
"8009788728531388","R$ 519.99"
"4436780242399700","R$ 139.99"
"9729100180125238","R$ 129.99"
"8106789993386720","R$ 279.99"
"9726420287195813","R$ 299.99"
"1793298509560276","R$ 99.99"
"8305527730775059","R$ 109.99"
"4064196597618477","R$ 279.99"
"0405838209685373","R$ 139.99"
"2425395004969050","R$ 99.99"
"1729126814810415","R$ 529.99"
"1953339249816777","R$ 79.99"
"3687919753132821","R$ 89.99"
"7788551339793245","R$ 389.99"
"1682075342169281","R$ 89.99"
"4832267545397796","R$ 369.99"
"8190069079587426","R$ 309.99"
"5024486631480891","R$ 109.99"
"9708093804321686","R$ 109.99"
"8386634536883272","R$ 69.99"
"2787826137628783","R$ 129.99"
"0006925906786980","R$ 69.99"
"7626122411218033","R$ 319.99"
"6615705039362010","R$ 79.99"
"5877271393717523","R$ 169.99"
"4382563827282671","R$ 189.99"
"4173959208111340","R$ 509.99"
"8769768780198731","R$ 129.99"
"1388336591966386","R$ 109.99"
"4553294051522784","R$ 249.99"
"7158867983460687","R$ 159.99"
"4079602402799132","R$ 89.99"
"2505395284966684","R$ 149.99"
"1084212905785578","R$ 219.99"
"9384422659797162","R$ 159.99"
"3083658408397286","R$ 279.99"
"3982462104464796","R$ 119.99"
"7075183552593642","R$ 69.99"
"1300372117573074","R$ 79.99"
"4521311200218391","R$ 129.99"
"7874939943798283","R$ 229.99"
"3861494937104095","R$ 79.99"
"6159673295965411","R$ 129.99"
"8735713485328275","R$ 379.99"
"5441451379876793","R$ 99.99"
"8445366876815735","R$ 89.99"
"6901755277049087","R$ 159.99"
"0700638728126290","R$ 179.99"
"2682971558456618","R$ 189.99"
"1050567052363872","R$ 189.99"
"7793722846376547","R$ 159.99"
"5876434160159552","R$ 179.99"
"9484360598509700","R$ 149.99"
"2465995272112938","R$ 69.99"
"4438191406816603","R$ 189.99"
"8235753178655253","R$ 109.99"
"2403018479069781","R$ 159.99"
"7626118691310975","R$ 199.99"
"5872771908618674","R$ 119.99"
"4287183247604519","R$ 159.99"
"1081437774013736","R$ 99.99"
"9565937277869432","R$ 129.99"
"0347111456238101","R$ 449.99"
"7239815696599156","R$ 259.99"
"6070656480806110","R$ 569.99"
"6361159202454319","R$ 99.99"
"5657177631962881","R$ 149.99"
"5656607903440479","R$ 99.99"
"4491313768275309","R$ 209.99"
"6911034513701687","R$ 69.99"
"6103103934725008","R$ 129.99"
"8763865843639572","R$ 279.99"
"1107408196911503","R$ 89.99"
"3440851547510342","R$ 199.99"
"0513469726395445","R$ 169.99"
"5419486619131261","R$ 99.99"
"4574238634771748","R$ 369.99"
"9391613890026202","R$ 89.99"
"9557322951268602","R$ 79.99"
"2100017011477147","R$ 89.99"
"1517531952779532","R$ 129.99"
"4138626725212437","R$ 89.99"
"2275044491798209","R$ 359.99"
"6018715673862093","R$ 99.99"
"2624932434481232","R$ 129.99"
"4151244122220402","R$ 129.99"
"0084930858495963","R$ 69.99"
"7459238535377228","R$ 149.99"
"9817554088189597","R$ 99.99"
"2962889383841556","R$ 179.99"
"1114665953529687","R$ 549.99"
"5783018103079394","R$ 79.99"
"2544089829633400","R$ 139.99"
"9377250605059524","R$ 259.99"
"6641616559892316","R$ 159.99"
"7360050226558564","R$ 69.99"
"9400338819079484","R$ 99.99"
"2617379814808962","R$ 219.99"
"0368803749552270","R$ 309.99"
"9075899144454493","R$ 209.99"
"3911812857959617","R$ 79.99"
"1197055749430200","R$ 399.99"
"9971915682097746","R$ 339.99"
"2703512059197298","R$ 59.99"
"5934711021936383","R$ 109.99"
"8737008581433809","R$ 149.99"
"7333867403380355","R$ 169.99"
"4973589922999273","R$ 229.99"
"1672109300540483","R$ 89.99"
"9207257432119323","R$ 139.99"
"1656737368712624","R$ 149.99"
"9831740135620775","R$ 89.99"
"0377369335334163","R$ 109.99"
"9559028453175971","R$ 189.99"
"8071778368648261","R$ 179.99"
"0062701218859899","R$ 89.99"
"2079568165328092","R$ 509.99"
"6666985586247715","R$ 659.99"
"3343878728414271","R$ 139.99"
"1658052602868259","R$ 69.99"
"8268751370321520","R$ 129.99"
"0630077813221910","R$ 109.99"
"9033430440865198","R$ 419.99"
"5279850488093755","R$ 79.99"
"7403173395445845","R$ 609.99"
"8736569175548020","R$ 239.99"
"3007097151041331","R$ 99.99"
"8571796723982141","R$ 59.99"
"5177349726269410","R$ 169.99"
"5570506131041348","R$ 179.99"
"4312145667681987","R$ 79.99"
"4963753772519858","R$ 69.99"
"0406761907200386","R$ 259.99"
"7639909512261065","R$ 419.99"
"4485479421379906","R$ 209.99"
"8887612529938775","R$ 969.99"
"0686000523919882","R$ 119.99"
"7090405108727243","R$ 199.99"
"3519160881914672","R$ 389.99"
"0177530408098682","R$ 289.99"
"2334321218112483","R$ 89.99"
"3008988626425095","R$ 259.99"
"7184844027865891","R$ 139.99"
"3676757568687508","R$ 149.99"
"0764459092272855","R$ 99.99"
"0790998106361714","R$ 179.99"
"4433505604310238","R$ 69.99"
"6585554864622676","R$ 169.99"
"4091775419581368","R$ 189.99"
"1970245791085124","R$ 959.99"
"2521321577041244","R$ 179.99"
"7530019929201077","R$ 109.99"
"1406943748207715","R$ 379.99"
"3412692080704269","R$ 109.99"
"4567259194759924","R$ 139.99"
"9128638957474485","R$ 99.99"
"6085207523469605","R$ 229.99"
"9197645268154072","R$ 79.99"
"8223250751635718","R$ 99.99"
"3761755386551477","R$ 329.99"
"1723101917676710","R$ 119.99"
"9257824150323744","R$ 69.99"
"0382584604977745","R$ 89.99"
"2118031272519985","R$ 59.99"
"1581794165013099","R$ 379.99"
"5500431905778387","R$ 109.99"
"9771781326396379","R$ 159.99"
"4353231445875183","R$ 99.99"
"9293611176065089","R$ 199.99"
"2122148932220914","R$ 189.99"
"3997786847943545","R$ 229.99"
"1153354702770052","R$ 459.99"
"4497880244280471","R$ 69.99"
"1276498047085256","R$ 189.99"
"8069441345584055","R$ 99.99"
"1832758951605743","R$ 189.99"
"0013857589216651","R$ 299.99"
"4630937630234436","R$ 69.99"
"8970577750699270","R$ 249.99"
"3295249927600860","R$ 59.99"
"7961648794724495","R$ 259.99"
"1772024675734027","R$ 89.99"
"8960734543645270","R$ 289.99"
"0372963755429486","R$ 59.99"
"7120516482889205","R$ 219.99"
"4572127399959390","R$ 229.99"
"6682364193475153","R$ 589.99"
"4742651901244576","R$ 309.99"
"8693817604716293","R$ 999.99"
"5134652376923783","R$ 309.99"
"5265810193381174","R$ 89.99"
"6246060766975145","R$ 199.99"
"6364238663181589","R$ 669.99"
"0211715345013205","R$ 259.99"
"1185017189479364","R$ 599.99"
"1430542826025390","R$ 849.99"
"5627946912244520","R$ 159.99"
"2826776689620061","R$ 89.99"
"5537768881674180","R$ 109.99"
"2190789410410916","R$ 79.99"
"5003368465273242","R$ 169.99"
"8730814478681907","R$ 139.99"
"1572817461701754","R$ 199.99"
"1332626255142810","R$ 79.99"
"1312537760350192","R$ 79.99"
"6778117955540355","R$ 69.99"
"1179528439006259","R$ 99.99"
"5515579001243550","R$ 1359.99"
"5071684990321117","R$ 99.99"
"9894720809096285","R$ 99.99"
"1961583021948356","R$ 89.99"
"6243531453516460","R$ 269.99"
"1293655742220189","R$ 89.99"
"8145189082857537","R$ 219.99"
"2254743881751879","R$ 69.99"
"6592557650885812","R$ 139.99"
"3277734470011140","R$ 159.99"
"8002739472018836","R$ 89.99"
"7883179378283868","R$ 69.99"
"4947820399503881","R$ 309.99"
"7819086562604035","R$ 69.99"
"1241407433926121","R$ 429.99"
"3101880079415747","R$ 339.99"
"8710730093409126","R$ 89.99"
"0723170656047709","R$ 679.99"
"5661289956043796","R$ 139.99"
"0314944669354927","R$ 129.99"
"7845234555233700","R$ 79.99"
"5192411055008459","R$ 139.99"
"6956661248737275","R$ 79.99"
"4551378130844061","R$ 169.99"
"1915043862778822","R$ 229.99"
"7305741721285647","R$ 359.99"
"6406137778029903","R$ 809.99"
"7583722732653356","R$ 99.99"
"5519974930471990","R$ 109.99"
"9272245176251054","R$ 549.99"
"9117643930127254","R$ 189.99"
"6758696338075820","R$ 549.99"
"5010697393826825","R$ 79.99"
"9049538532273350","R$ 119.99"
"5718775302825686","R$ 339.99"
"8035489124170521","R$ 69.99"
"2019044132564060","R$ 69.99"
"6200937091101001","R$ 159.99"
"2408962851874593","R$ 149.99"
"7736642520112403","R$ 239.99"
"7916439398086575","R$ 159.99"
"0992494684778402","R$ 149.99"
"0464767630826316","R$ 369.99"
"8128983053871308","R$ 149.99"
"2068016324895059","R$ 99.99"
"6062998103458175","R$ 69.99"
"5715828005889289","R$ 329.99"
"3915096296275788","R$ 109.99"
"0240149771495201","R$ 159.99"
"8055249672723379","R$ 139.99"
"3997575236435730","R$ 139.99"
"2176754534690460","R$ 289.99"
"6998453446867991","R$ 99.99"
"7629329152981623","R$ 89.99"
"6331411194563932","R$ 179.99"
"5308429294874960","R$ 289.99"
"9955623361846944","R$ 149.99"
"4679173634567185","R$ 999.99"
"5947866548953062","R$ 579.99"
"4919299550804508","R$ 379.99"
"1825001211572055","R$ 169.99"
"4684941965874294","R$ 99.99"
"1823181059525431","R$ 159.99"
"0752281495895764","R$ 89.99"
"7278449229991955","R$ 219.99"
"8834922688786448","R$ 239.99"
"3472731241062826","R$ 369.99"
"1943161872380220","R$ 189.99"
"8992566334973388","R$ 529.99"
"4829461513417031","R$ 379.99"
"2704496910663668","R$ 69.99"
"4102457931361335","R$ 129.99"
"3372227574920279","R$ 259.99"
"8461635958561891","R$ 209.99"
"8740724746928608","R$ 99.99"
"1680665152005621","R$ 389.99"
"0200138070964875","R$ 129.99"
"1057208141744217","R$ 179.99"
"6172007101571502","R$ 79.99"
"2773911223313023","R$ 269.99"
"1821895606995585","R$ 189.99"
"4131989793185114","R$ 209.99"
"8435247686053323","R$ 379.99"
"9439567810961200","R$ 109.99"
"1951652300141951","R$ 89.99"
